id	role	alias	tag
8996	Character Draft	character draft	PERFORMER
7135	Character Effects	character effects	PERFORMER
2259	Character Graphics	character graphics	PERFORMER
6329	Character Illustration Finishing	character illustration finishing	PERFORMER
807	Character Illustrator	character illustrator	PERFORMER
4904	Character Keyframe	character keyframe	PERFORMER
5097	Character Keyframe Director	character keyframe director	PERFORMER
6838	Character Layout	character layout	PERFORMER
4902	Character Licensing	character licensing	PERFORMER
4324	Character Manager	character manager	PERFORMER
1738	Character Modeling	character modeling	PERFORMER
5426	Character Notes	character notes	PERFORMER
5826	Character Painter	character painter	PERFORMER
1729	Character Planning	character planning	PERFORMER
5129	Character Production	character production	PERFORMER
9673	Character Provider	character provider	PERFORMER
7688	Character Redesigner	character redesigner	PERFORMER
7974	Character Song Director	character song director	PERFORMER
7745	Character Song Producer	character song producer	PERFORMER
3849	Character Song Production	character song production	PERFORMER
8378	Character Song Production Director	character song production director	PERFORMER
9925	Character Song Sound Director	character song sound director	PERFORMER
9924	Character Song Sound Producer	character song sound producer	PERFORMER
803	Character Sound Design	character sound design	PERFORMER
1788	Character Supervisor	character supervisor	PERFORMER
7264	Character Theme Arranger	character theme arranger	ARRANGER
3875	Character Theme Composer	character theme composer	COMPOSER
7267	Character Theme Converter	character theme converter	PERFORMER
7265	Character Theme Data Creator	character theme data creator	PERFORMER
7262	Character Theme Original Plan	character theme original plan	PERFORMER
7263	Character Theme Producer	character theme producer	PERFORMER
1041	Charango	charango	PERFORMER
3829	Chatter	chatter	PERFORMER
2464	Check	check	PERFORMER
9177	Cheer Song Production Assistance	cheer song production assistance	PERFORMER
6209	Cheering	cheering	PERFORMER
6165	Chef	chef	PERFORMER
3151	Chelys	chelys	PERFORMER
8429	Chi Inspector	chi inspector	PERFORMER
5460	Chibi Character Coloring	chibi character coloring	PERFORMER
5456	Chibi Character Designer	chibi character designer	PERFORMER
5461	Chibi Character Illustrator	chibi character illustrator	PERFORMER
4292	Chibi Character Keyframe	chibi character keyframe	PERFORMER
4778	Chief A&R Producer	chief a&r producer	PERFORMER
5477	Chief Administrator	chief administrator	PERFORMER
4267	Chief Animation Director	chief animation director	PERFORMER
4050	Chief Animator	chief animator	PERFORMER
9015	Chief Area Promoter	chief area promoter	PERFORMER
10142	Chief Art Director	chief art director	PERFORMER
920	Chief Artist Manager	chief artist manager	PERFORMER
3749	Chief Artist Producer	chief artist producer	PERFORMER
2772	Chief Artist Promoter	chief artist promoter	PERFORMER
4246	Chief Assistant	chief assistant	PERFORMER
3720	Chief Assistant Engineer	chief assistant engineer	PERFORMER
1563	Chief Assistant Producer	chief assistant producer	PERFORMER
1372	Chief Associate Director	chief associate director	PERFORMER
3833	Chief Camera Assistant	chief camera assistant	PERFORMER
5455	Chief Cameraman	chief cameraman	PERFORMER
7856	Chief Carpenter	chief carpenter	PERFORMER
4579	Chief Conductor	chief conductor	CONDUCTOR
9074	Chief Coordinator	chief coordinator	PERFORMER
5000	Chief Creative Movie Director	chief creative movie director	PERFORMER
10468	Chief Creative Officer	chief creative officer	PERFORMER
8021	Chief Creator	chief creator	PERFORMER
8382	Chief Design Editor	chief design editor	PERFORMER
4491	Chief Designer	chief designer	PERFORMER
752	Chief Director	chief director	PERFORMER
463	Chief Engineer	chief engineer	PERFORMER
1066	Chief Executive Officer	chief executive officer	PERFORMER
8748	Chief Financial Officer	chief financial officer	PERFORMER
6706	Chief for the Day	chief for the day	PERFORMER
7618	Chief Game Director	chief game director	PERFORMER
1755	Chief Game Producer	chief game producer	PERFORMER
3660	Chief International Marketing Coordinator	chief international marketing coordinator	PERFORMER
3661	Chief International Promotion Coordinator	chief international promotion coordinator	PERFORMER
3423	Chief Keyframe Director	chief keyframe director	PERFORMER
9327	Chief Keyframe Supervisor	chief keyframe supervisor	PERFORMER
3265	Chief Label Administrator	chief label administrator	PERFORMER
5886	Chief Lighting Assistant	chief lighting assistant	PERFORMER
9449	Chief Lighting Operator	chief lighting operator	PERFORMER
9445	Chief Live Director	chief live director	PERFORMER
10292	Chief Live Manager	chief live manager	PERFORMER
9328	Chief Live Producer	chief live producer	PERFORMER
919	Chief Manager	chief manager	PERFORMER
2883	Chief Manipulator	chief manipulator	PERFORMER
9899	Chief Mechanical Director	chief mechanical director	PERFORMER
2429	Chief Media Promoter	chief media promoter	PERFORMER
425	Chief Mixing Engineer	chief mixing engineer	PERFORMER
3609	Chief Movie Director	chief movie director	PERFORMER
3263	Chief Multi Promotion Planner	chief multi promotion planner	PERFORMER
662	Chief Music Director	chief music director	PERFORMER
7259	Chief Music Planner	chief music planner	PERFORMER
424	Chief Music Producer	chief music producer	PERFORMER
2008	Chief Music Programmer	chief music programmer	PERFORMER
438	Chief Music Supervisor	chief music supervisor	PERFORMER
7084	Chief of General Affairs	chief of general affairs	PERFORMER
2882	Chief Officer	chief officer	PERFORMER
8746	Chief Operating Officer	chief operating officer	PERFORMER
9446	Chief Operator	chief operator	PERFORMER
918	Chief Producer	chief producer	PERFORMER
4392	Chief Product Manager	chief product manager	PERFORMER
9704	Chief Project Producer	chief project producer	PERFORMER
817	Chief Promoter	chief promoter	PERFORMER
3069	Chief Promotion Producer	chief promotion producer	PERFORMER
4342	Chief Publicist	chief publicist	PERFORMER
5292	Chief Publisher	chief publisher	PERFORMER
2351	Chief Publishing Promoter	chief publishing promoter	PERFORMER
10198	Chief Re-recording Director	chief re-recording director	PERFORMER
7981	Chief Recording Coordinator	chief recording coordinator	PERFORMER
3987	Chief Recording Director	chief recording director	PERFORMER
321	Chief Recording Engineer	chief recording engineer	PERFORMER
5160	Chief Rigger	chief rigger	PERFORMER
2303	Chief Sales Promoter	chief sales promoter	PERFORMER
3070	Chief Sales Promotion Producer	chief sales promotion producer	PERFORMER
323	Chief Sound Creator	chief sound creator	PERFORMER
8400	Chief Sound Data Supervisor	chief sound data supervisor	PERFORMER
3469	Chief Sound Designer	chief sound designer	PERFORMER
322	Chief Sound Director	chief sound director	PERFORMER
4257	Chief Sound Editor	chief sound editor	PERFORMER
7261	Chief Sound Effects Director	chief sound effects director	PERFORMER
7260	Chief Sound Effects Planner	chief sound effects planner	PERFORMER
9448	Chief Sound Operator	chief sound operator	PERFORMER
7257	Chief Sound Planner	chief sound planner	PERFORMER
604	Chief Sound Producer	chief sound producer	PERFORMER
5179	Chief Sound Programmer	chief sound programmer	PERFORMER
8272	Chief Sound Supervisor	chief sound supervisor	PERFORMER
10291	Chief Spotlight Operator	chief spotlight operator	PERFORMER
9447	Chief Stage Director	chief stage director	PERFORMER
9469	Chief Strategy Manager	chief strategy manager	PERFORMER
4551	Chief Supervisor	chief supervisor	PERFORMER
1203	Chief Technical Officer	chief technical officer	PERFORMER
7861	Chief Technician	chief technician	PERFORMER
8749	Chief Technology Officer	chief technology officer	PERFORMER
5452	Chief Tie-Up Designer	chief tie-up designer	PERFORMER
10104	Chief Tour Producer	chief tour producer	PERFORMER
1118	Chief Video Engineer	chief video engineer	PERFORMER
7034	Chief Web Promoter	chief web promoter	PERFORMER
8342	Chief Writer	chief writer	PERFORMER
10473	Chikuwa	chikuwa	PERFORMER
8065	Children's Choir Conductor	children's choir conductor	CONDUCTOR
3717	Children's Choir Coordinator	children's choir coordinator	PERFORMER
8633	Children's Choir Director	children's choir director	PERFORMER
3712	Children's Choir Featured Vocalist	children's choir featured vocalist	VOCALIST
3716	Children's Choir Mixing Engineer	children's choir mixing engineer	PERFORMER
3715	Children's Choir Recording Engineer	children's choir recording engineer	PERFORMER
1056	Children's Chorus	children's chorus	PERFORMER
6052	Children's Chorus Director	children's chorus director	PERFORMER
8558	Children's Chorus Recording Engineer	children's chorus recording engineer	PERFORMER
8557	Children's Chorus Recording Studio	children's chorus recording studio	PERFORMER
5226	Children's Soprano Solo Vocals	children's soprano solo vocals	VOCALIST
10301	Children's Vocal Conductor	children's vocal conductor	CONDUCTOR
7794	Children's Vocal Recording Engineer	children's vocal recording engineer	PERFORMER
2108	Children's Vocals	children's vocals	VOCALIST
885	China Cymbal	china cymbal	PERFORMER
